,features,dicationary
last_30_day_review_popular_app_total_to_whole_ratio,0.4,最近30天_review_popular_app_total数与总数比值
last_30_day_install_unpopular_app_total,0.0,最近30天_install_unpopular_app_total数
last_30_day_install_unpopular_app_total_to_whole_ratio,0.0,最近30天_install_unpopular_app_total数与总数比值
last_30_day_install_unpopular_second_app_total,0.0,最近30天_install_unpopular_second_app_total数
last_30_day_install_unpopular_second_app_total_to_whole_ratio,0.0,最近30天_install_unpopular_second_app_total数与总数比值
last_30_day_install_middle_app_total,0.0,最近30天_install_middle_app_total数
last_30_day_install_middle_app_total_to_whole_ratio,0.0,最近30天_install_middle_app_total数与总数比值
last_30_day_install_popular_app_total,2.0,最近30天_install_popular_app_total数
last_30_day_install_popular_app_total_to_whole_ratio,0.4,最近30天_install_popular_app_total数与总数比值
last_30_day_cash_install_unpopular_app_total,0.0,最近30天_cash_install_unpopular_app_total数
last_30_day_cash_install_unpopular_app_total_to_whole_ratio,0.0,最近30天_cash_install_unpopular_app_total数与总数比值
last_30_day_cash_install_unpopular_second_app_total,0.0,最近30天_cash_install_unpopular_second_app_total数
last_30_day_cash_install_unpopular_second_app_total_to_whole_ratio,0.0,最近30天_cash_install_unpopular_second_app_total数与总数比值
last_30_day_cash_install_middle_app_total,0.0,最近30天_cash_install_middle_app_total数
last_30_day_cash_install_middle_app_total_to_whole_ratio,0.0,最近30天_cash_install_middle_app_total数与总数比值
last_30_day_cash_install_popular_app_total,0.0,最近30天_cash_install_popular_app_total数
last_30_day_cash_install_popular_app_total_to_whole_ratio,0.0,最近30天_cash_install_popular_app_total数与总数比值
last_30_cate_gory_kind1_total_cnt,0.0,最近30天第一类app total 数
last_30_cate_gory_kind2_total_cnt,0.0,最近30天第二类app total 数
last_30_cate_gory_kind1_total_ratio,0.0,最近30天第一类app total 占比
last_30_cate_gory_kind2_total_ratio,0.0,最近30天第二类app total 占比
last_total_days_app_total_cnt,342.0,最近total天_app_total_个数
last_total_days_review_total_max,151825350.0,最近total天_热评_total_最大数
last_total_days_review_total_sum,964168846.0,最近total天_热评_total_合计
last_total_days_review_total_avg,2819207.152046784,最近total天_热评_total_均值
last_total_days_review_total_min,18.0,最近total天_热评_total_最小数
last_total_days_game_total_cnt,6.0,最近total天game_total_个数
last_total_days_game_total_to_whole_ratio,0.017543859649122806,最近total天game_total_个数与总app数比值
last_total_days_tools_total_cnt,21.0,最近total天tools_total_个数
last_total_days_tools_total_to_whole_ratio,0.06140350877192982,最近total天tools_total_个数与总app数比值
last_total_days_video_music_total_cnt,6.0,最近total天video_music_total_个数
last_total_days_video_music_total_to_whole_ratio,0.017543859649122806,最近total天video_music_total_个数与总app数比值
last_total_days_lifestyle_total_cnt,3.0,最近total天lifestyle_total_个数
last_total_days_lifestyle_total_to_whole_ratio,0.008771929824561403,最近total天lifestyle_total_个数与总app数比值
last_total_days_education_total_cnt,0.0,最近total天education_total_个数
last_total_days_education_total_to_whole_ratio,0.0,最近total天education_total_个数与总app数比值
last_total_days_personal_total_cnt,1.0,最近total天personal_total_个数
last_total_days_personal_total_to_whole_ratio,0.0029239766081871343,最近total天personal_total_个数与总app数比值
last_total_days_ebook_total_cnt,0.0,最近total天ebook_total_个数
last_total_days_ebook_total_to_whole_ratio,0.0,最近total天ebook_total_个数与总app数比值
last_total_days_effication_total_cnt,3.0,最近total天effication_total_个数
last_total_days_effication_total_to_whole_ratio,0.008771929824561403,最近total天effication_total_个数与总app数比值
last_total_days_entertainment_total_cnt,2.0,最近total天entertainment_total_个数
last_total_days_entertainment_total_to_whole_ratio,0.005847953216374269,最近total天entertainment_total_个数与总app数比值
last_total_days_communication_total_cnt,16.0,最近total天communication_total_个数
last_total_days_communication_total_to_whole_ratio,0.04678362573099415,最近total天communication_total_个数与总app数比值
last_total_days_finance_total_cnt,30.0,最近total天finance_total_个数
last_total_days_finance_total_to_whole_ratio,0.08771929824561403,最近total天finance_total_个数与总app数比值
last_total_days_travel_total_cnt,4.0,最近total天travel_total_个数
last_total_days_travel_total_to_whole_ratio,0.011695906432748537,最近total天travel_total_个数与总app数比值
last_total_days_business_total_cnt,1.0,最近total天business_total_个数
